ticker,namn
MVIR.ST,Medivir
MYCR.ST,Mycronic
NANEXA.ST,Nanexa
NCAB.ST,NCAB Group
NCC-B.ST,NCC B
NDA-SE.ST,Nordea Bank
NELLY.ST,Nelly Group
NEOBO.ST,Neobo Fastigheter
NETI-B.ST,Net Insight
NEWA-B.ST,New Wave
NIBE-B.ST,NIBE Industrier
NIL-B.ST,Nilörngruppen
NIVI-B.ST,Nivika Fastigheter
NMAN.ST,Nederman
NOBA.ST,NOBA Bank
NOBI.ST,Nobia
NOKIA-SEK.ST,Nokia
NOLA-B.ST,Nolato
NORION.ST,Norion Bank
NOTE.ST,NOTE
NP3-PREF.ST,NP3 Fastigheter Pref
NP3.ST,NP3 Fastigheter
NREST.ST,Nordrest
NYAB.ST,NYAB
OEM-B.ST,OEM International
ONCO.ST,Oncopeptides
ORES.ST,Öresund
ORRON.ST,Orrön Energy
OSSD.ST,OssDsign
OVZON.ST,Ovzon
PACT.ST,Proact IT
PCELL.ST,PowerCell
PDX.ST,Paradox Interactive
PEAB-B.ST,Peab
PIERCE.ST,Pierce Group
PLAZ-B.ST,Platzer Fastigheter
PNDX-B.ST,Pandox
PREV-B.ST,Prevas
PRISMA.ST,Prisma Properties
RATO-B.ST,Ratos B
RAY-B.ST,RaySearch Laboratories
REJL-B.ST,Rejlers
ROKO-B.ST,Röko
RUG.ST,RugVista
RUSTA.ST,Rusta
RVRC.ST,Revolutionrace
SAAB-B.ST,Saab
SAGA-B.ST,Sagax B
SAGA-D.ST,Sagax D
SALT-B.ST,SaltX Technology
SAMPO-SEK.ST,Sampo
SAND.ST,Sandvik
SANION.ST,Saniona
SAVE.ST,Nordnet
SBB-B.ST,Samhällsbyggnadsbolag B
SBB-D.ST,Samhällsbyggnadsbolag D
SCA-A.ST,SCA A
SCA-B.ST,SCA B
SCST.ST,Scandi Standard
SDIP-B.ST,Sdiptech
SEB-A.ST,SEB A
SEB-C.ST,SEB C
SECARE.ST,Swedencare
SECT-B.ST,Sectra
SECU-B.ST,Securitas
SES.ST,Scandinavian Enviro
SEYE.ST,Smart Eye
SF.ST,Stillfront
SFAB.ST,Solid Försäkring
SFAST.ST,Stenhus Fastigheter
SHB-A.ST,Handelsbanken A
SHB-B.ST,Handelsbanken B
SHOT.ST,Scandic Hotels
SINCH.ST,Sinch
SIVE.ST,Sivers Semiconductors
SKA-B.ST,Skanska
SKF-B.ST,SKF B
SKIS-B.ST,SkiStar
SLP-B.ST,Swedish Logistic Property
SNM-SDB.ST,ShaMaran Petroleum
SOBI.ST,Swedish Orphan Biovitrum
SOLT.ST,SolTech Energy
SPRINT.ST,Sprint Bioscience
SSAB-A.ST,SSAB A
SSAB-B.ST,SSAB B
STE-R.ST,Stora Enso R
STEF-B.ST,Stendörren Fastigheter
STOR-B.ST,Storskogen
STORY-B.ST,Storytel
SUS.ST,Surgical Science
SVEAF.ST,Sveafastigheter
SVED-B.ST,Svedbergs Group
SVIK.ST,Studsvik
SVOL-B.ST,Svolder B
SWEC-B.ST,Sweco B
SWED-A.ST,Swedbank
SYNACT.ST,SynAct Pharma
SYNSAM.ST,Synsam
SYSR.ST,Systemair
TEL2-B.ST,Tele2 B
TELIA.ST,Telia Company
TEQ.ST,Teqnion
TERNOR.ST,Terranor Group
THULE.ST,Thule
TIETOS.ST,Tieto
TOBII.ST,Tobii
TREL-B.ST,Trelleborg
TROAX.ST,Troax Group
TRUE-B.ST,Truecaller
UPSALE.ST,Upsales
VBG-B.ST,VBG Group
VEFAB.ST,VEF
VER.ST,Verve Group
VESTUM.ST,Vestum
VICO.ST,Vicore Pharma
VIMIAN.ST,Vimian Group
VISC.ST,Gruvaktiebolaget Viscaria
VIT-B.ST,Vitec Software
VITR.ST,Vitrolife
VIVA.ST,Viva Wine
VNV.ST,VNV Global
VOLCAR-B.ST,Volvo Car
VOLO-PREF.ST,Volati Pref
VOLO.ST,Volati
VOLV-A.ST,Volvo A
VOLV-B.ST,Volvo B
VPLAY-B.ST,Viaplay B
VSURE.ST,Verisure
W5.ST,W5 Solutions
WALL-B.ST,Wallenstam
WIHL.ST,Wihlborgs Fastigheter
XSPRAY.ST,Xspray Pharma
XVIVO.ST,Xvivo Perfusion
YUBICO.ST,Yubico
ZZ-B.ST,Zinzino
