ticker,namn
SKF-B.ST,SKF B
SKIS-B.ST,SkiStar
SLP-B.ST,Swedish Logistic Property
SNM-SDB.ST,ShaMaran Petroleum
SOBI.ST,Swedish Orphan Biovitrum
SSAB-A.ST,SSAB A
SSAB-B.ST,SSAB B
STE-R.ST,Stora Enso R
STEF-B.ST,Stendörren Fastigheter
STOR-B.ST,Storskogen
STORY-B.ST,Storytel
SVEAF.ST,Sveafastigheter
SVED-B.ST,Svedbergs Group
SVIK.ST,Studsvik
SVOL-B.ST,Svolder B
SWEC-B.ST,Sweco B
SWED-A.ST,Swedbank
SYNSAM.ST,Synsam
SYSR.ST,Systemair
TEL2-B.ST,Tele2 B
TELIA.ST,Telia Company
TEQ.ST,Teqnion
THULE.ST,Thule
TIETOS.ST,Tieto
TREL-B.ST,Trelleborg
TROAX.ST,Troax Group
TRUE-B.ST,Truecaller
VBG-B.ST,VBG Group
VEFAB.ST,VEF
VER.ST,Verve Group
VESTUM.ST,Vestum
VICO.ST,Vicore Pharma
VIMIAN.ST,Vimian Group
VISC.ST,Gruvaktiebolaget Viscaria
VIT-B.ST,Vitec Software
VITR.ST,Vitrolife
VIVA.ST,Viva Wine
VNV.ST,VNV Global
VOLCAR-B.ST,Volvo Car
VOLO-PREF.ST,Volati Pref
VOLO.ST,Volati
VOLV-A.ST,Volvo A
VOLV-B.ST,Volvo B
VPLAY-B.ST,Viaplay B
VSURE.ST,Verisure
WALL-B.ST,Wallenstam
WIHL.ST,Wihlborgs Fastigheter
XVIVO.ST,Xvivo Perfusion
YUBICO.ST,Yubico
ZZ-B.ST,Zinzino
